Team,MatchPlayed,W,D,L,Goals For,Goals Against,Goal Diff,Points
Arsenal,10,9,0,1,27,10,17,27
Man City,10,8,2,0,37,11,26,26
Tottenham,10,6,2,2,22,14,8,20
Brighton,10,6,2,2,17,9,8,20
Newcastle,10,4,5,1,22,10,12,17
Chelsea,10,5,2,3,14,12,2,17
Man United,10,5,2,3,16,18,-2,17
Fulham,10,4,2,4,16,19,-3,14
Liverpool,10,3,5,2,22,12,10,14
Leeds,10,3,4,3,15,15,0,13
Brentford,10,3,4,3,18,17,1,13
Bournemouth,10,3,3,4,8,22,-14,12
Aston Villa,10,3,3,4,9,12,-3,12
Crystal Palace,10,2,4,4,11,14,-3,10
Everton,10,2,4,4,8,13,-5,10
West Ham,10,3,1,6,9,15,-6,10
Southampton,10,2,1,7,8,19,-11,7
Wolves,10,1,3,6,3,14,-11,6
Nottingham,10,1,2,7,8,24,-16,5
Leicester,10,1,1,8,16,26,-10,4
